1.png	[{"transcription": "IBKWM센터 광주", "points": [[484, 65], [2676, 65], [2676, 295], [484, 295]]}, {"transcription": "|BK기업은행", "points": [[2783, 69], [3348, 61], [3350, 161], [2784, 169]]}, {"transcription": "|BK투자증권", "points": [[2791, 165], [3364, 165], [3364, 266], [2791, 266]]}]
134.png	[{"transcription": "청상원", "points": [[375, 122], [424, 77], [666, 340], [618, 386]]}, {"transcription": "재활켄터", "points": [[256, 215], [345, 129], [735, 535], [646, 621]]}, {"transcription": "3-76", "points": [[310, 401], [402, 312], [666, 588], [575, 677]]}, {"transcription": "가한학방병원", "points": [[307, 456], [662, 796], [609, 852], [254, 512]]}, {"transcription": "N학", "points": [[318, 661], [362, 661], [362, 708], [318, 708]]}, {"transcription": "우", "points": [[464, 711], [617, 844], [564, 906], [411, 774]]}, {"transcription": "일트", "points": [[282, 766], [435, 913], [382, 969], [229, 822]]}, {"transcription": "숯", "points": [[481, 903], [531, 874], [582, 964], [532, 992]]}]
135.png	[{"transcription": "NAPOLI", "points": [[16, 122], [101, 95], [110, 122], [24, 150]]}, {"transcription": "PIZA", "points": [[24, 143], [99, 122], [106, 150], [32, 171]]}, {"transcription": "495", "points": [[23, 208], [130, 214], [114, 530], [7, 524]]}, {"transcription": "Diza", "points": [[11, 593], [103, 568], [114, 610], [21, 635]]}, {"transcription": "Steak", "points": [[8, 654], [104, 629], [114, 671], [18, 695]]}, {"transcription": "Dasta", "points": [[8, 710], [104, 685], [114, 724], [18, 750]]}, {"transcription": "wine", "points": [[12, 767], [106, 748], [113, 788], [19, 807]]}, {"transcription": "SF", "points": [[91, 933], [102, 929], [107, 943], [96, 947]]}, {"transcription": "상F", "points": [[11, 943], [61, 935], [67, 971], [17, 980]]}, {"transcription": "|24", "points": [[15, 991], [51, 991], [51, 1008], [15, 1008]]}]
136.png	[{"transcription": "하", "points": [[6, 103], [31, 86], [66, 145], [42, 163]]}, {"transcription": "0", "points": [[54, 153], [72, 150], [75, 176], [58, 179]]}, {"transcription": "fd", "points": [[18, 271], [84, 269], [95, 668], [29, 670]]}, {"transcription": "COENE", "points": [[41, 779], [109, 854], [90, 875], [21, 800]]}, {"transcription": "n ", "points": [[39, 897], [140, 1033], [100, 1101], [0, 965]]}]
137.png	[{"transcription": "아주5", "points": [[29, 120], [106, 120], [103, 340], [27, 340]]}, {"transcription": "아페o0", "points": [[21, 438], [107, 438], [107, 762], [21, 762]]}]
138.png	[{"transcription": "에류월 공인중개사학원", "points": [[82, 35], [689, 528], [648, 582], [40, 89]]}]
139.png	[{"transcription": "노줄중새활", "points": [[66, 10], [471, 307], [413, 388], [8, 91]]}, {"transcription": "의학한의학협진", "points": [[540, 364], [1005, 709], [961, 770], [495, 425]]}, {"transcription": "3~7층", "points": [[1067, 756], [1220, 883], [1190, 930], [1031, 803]]}]
14.png	[{"transcription": "LIVART", "points": [[361, 29], [713, 17], [715, 71], [363, 83]]}, {"transcription": "TEN", "points": [[698, 24], [936, 24], [936, 64], [698, 64]]}, {"transcription": "HYowD", "points": [[6, 53], [141, 50], [142, 78], [7, 81]]}, {"transcription": "연대리바트", "points": [[193, 65], [316, 60], [317, 81], [194, 87]]}]
140.png	[{"transcription": "스라산", "points": [[63, 24], [90, 7], [113, 47], [86, 64]]}, {"transcription": "인한방병원", "points": [[122, 27], [500, 439], [462, 488], [75, 76]]}]
142.png	[{"transcription": "YOUNG", "points": [[1613, 139], [2851, 149], [2848, 403], [1611, 393]]}, {"transcription": "OLIVE", "points": [[66, 151], [1019, 151], [1019, 377], [66, 377]]}]
143.png	[{"transcription": "꿀리메광주점", "points": [[3156, 71], [3661, 33], [3667, 119], [3161, 158]]}, {"transcription": "CCLIME", "points": [[903, 150], [2581, 49], [2591, 240], [912, 341]]}, {"transcription": "플리NO스테틱", "points": [[10, 278], [485, 250], [489, 329], [14, 357]]}]
144.png	[{"transcription": "U고통", "points": [[216, 38], [434, 53], [388, 717], [169, 702]]}, {"transcription": "2F", "points": [[193, 797], [351, 786], [357, 878], [200, 889]]}]
145.png	[{"transcription": "OYO", "points": [[46, 363], [406, 328], [411, 384], [51, 418]]}, {"transcription": "HAIRSHOP", "points": [[36, 436], [404, 397], [408, 432], [40, 470]]}]
147.png	[{"transcription": "쿼공자", "points": [[148, 75], [1518, 46], [1527, 458], [157, 487]]}, {"transcription": "지하2층5층", "points": [[544, 579], [1215, 600], [1211, 718], [540, 697]]}]
149.png	[{"transcription": "냉먼 & 숯불고기전문점", "points": [[80, 34], [586, 51], [584, 115], [78, 98]]}, {"transcription": "국녀작", "points": [[609, 153], [1013, 153], [1013, 339], [609, 339]]}, {"transcription": "냉먼을드시먼고기를주는 집", "points": [[364, 344], [1027, 367], [1025, 427], [362, 404]]}, {"transcription": "서구점 0624007701", "points": [[1055, 370], [1536, 378], [1535, 436], [1054, 428]]}]
15.png	[{"transcription": "SK", "points": [[244, 73], [453, 53], [461, 133], [252, 153]]}, {"transcription": "에너지", "points": [[489, 69], [759, 69], [759, 131], [489, 131]]}]
150.png	[{"transcription": "륨", "points": [[121, 128], [369, 128], [369, 413], [121, 413]]}]
151.png	[{"transcription": "뽕708E", "points": [[0, 47], [3195, 47], [3195, 1374], [0, 1374]]}, {"transcription": "5F", "points": [[2409, 921], [3052, 931], [3044, 1403], [2402, 1393]]}]
157.png	[{"transcription": "TEEVEN", "points": [[587, 72], [2165, 65], [2166, 354], [588, 361]]}, {"transcription": "R", "points": [[2199, 276], [2258, 276], [2258, 351], [2199, 351]]}, {"transcription": "가깝고 편리한 행볶충전소", "points": [[2411, 398], [2937, 391], [2938, 475], [2412, 482]]}]
158.png	[{"transcription": "기정빌딩", "points": [[11, 906], [2376, 312], [2587, 1161], [222, 1755]]}, {"transcription": "상무연하로75", "points": [[1539, 1678], [2403, 1467], [2443, 1632], [1579, 1843]]}]
159.png	[{"transcription": "어페페윤페 야아카페", "points": [[61, 19], [306, 23], [268, 2286], [22, 2282]]}]
16.png	[]
160.png	[{"transcription": "/", "points": [[593, 116], [680, 166], [196, 1002], [109, 952]]}]
161.png	[{"transcription": "A ]", "points": [[85, 66], [477, 45], [489, 265], [98, 287]]}, {"transcription": "newer", "points": [[405, 111], [1434, 117], [1433, 287], [404, 280]]}]
162.png	[{"transcription": "2늘집", "points": [[533, 79], [2673, 111], [2666, 573], [526, 541]]}, {"transcription": "R0om", "points": [[3068, 293], [3594, 311], [3590, 440], [3064, 421]]}, {"transcription": "Cafe 2F", "points": [[3068, 442], [3598, 456], [3594, 597], [3064, 583]]}]
163.png	[{"transcription": "2들집", "points": [[292, 64], [1146, 70], [1144, 263], [291, 258]]}, {"transcription": "2F", "points": [[1379, 179], [1510, 179], [1510, 271], [1379, 271]]}]
164.png	[{"transcription": "권공자", "points": [[179, 80], [2132, 80], [2132, 553], [179, 553]]}, {"transcription": "제하크층", "points": [[2293, 194], [2859, 194], [2859, 458], [2293, 458]]}]
165.png	[{"transcription": "LR", "points": [[848, 993], [1101, 993], [1101, 1533], [848, 1533]]}, {"transcription": "AV", "points": [[1859, 1054], [2118, 1113], [1998, 1655], [1739, 1597]]}, {"transcription": "x", "points": [[1004, 1117], [1030, 1117], [1030, 1153], [1004, 1153]]}, {"transcription": "룸런", "points": [[253, 1386], [725, 1386], [725, 1914], [253, 1914]]}, {"transcription": "룸런", "points": [[2199, 1402], [2623, 1402], [2623, 1904], [2199, 1904]]}, {"transcription": "B", "points": [[2720, 1796], [2801, 1796], [2801, 1874], [2720, 1874]]}]
166.png	[{"transcription": "미술행", "points": [[284, 25], [2239, 51], [2229, 800], [273, 774]]}, {"transcription": "B]", "points": [[2440, 479], [2629, 479], [2629, 625], [2440, 625]]}]
167.png	[{"transcription": "VOA VOAHNR", "points": [[730, 253], [3673, 402], [3663, 628], [720, 479]]}]
168.png	[{"transcription": "겟어원", "points": [[878, 317], [2420, 367], [2401, 952], [859, 903]]}, {"transcription": "B2", "points": [[2446, 692], [2765, 692], [2765, 853], [2446, 853]]}]
169.png	[{"transcription": "트래스제터", "points": [[465, 7], [1575, 16], [1573, 223], [464, 214]]}, {"transcription": "가라오케", "points": [[890, 915], [1183, 915], [1183, 977], [890, 977]]}, {"transcription": "BEA", "points": [[792, 995], [1360, 1075], [1304, 1477], [736, 1397]]}, {"transcription": "멍렁", "points": [[1157, 1319], [1238, 1299], [1263, 1401], [1183, 1422]]}, {"transcription": "1706", "points": [[1018, 1461], [1338, 1482], [1330, 1615], [1009, 1595]]}, {"transcription": "4F", "points": [[1328, 1709], [1523, 1709], [1523, 1835], [1328, 1835]]}, {"transcription": "유흥주점", "points": [[1331, 1822], [1536, 1822], [1536, 1895], [1331, 1895]]}]
17.png	[{"transcription": "한국수줄입은행", "points": [[177, 27], [988, 10], [990, 72], [179, 89]]}]
170.png	[{"transcription": "E나", "points": [[175, 32], [600, 1], [632, 349], [207, 381]]}, {"transcription": "트랜스젠덕", "points": [[896, 65], [2298, 91], [2291, 372], [890, 346]]}, {"transcription": "CLUB", "points": [[2386, 92], [3564, 105], [3560, 379], [2382, 366]]}, {"transcription": "4F", "points": [[3812, 133], [3971, 133], [3971, 267], [3812, 267]]}, {"transcription": "유흥주점", "points": [[3804, 267], [3988, 267], [3988, 352], [3804, 352]]}, {"transcription": "1796", "points": [[371, 311], [600, 311], [600, 407], [371, 407]]}]
171.png	[{"transcription": "SUPERMAN", "points": [[149, 58], [1606, 111], [1598, 315], [140, 262]]}, {"transcription": "BAR", "points": [[1682, 123], [2344, 152], [2332, 391], [1670, 362]]}, {"transcription": "NO 1Business", "points": [[914, 307], [1574, 334], [1571, 409], [910, 382]]}, {"transcription": "3F", "points": [[2417, 330], [2539, 330], [2539, 431], [2417, 431]]}]
172.png	[{"transcription": "숯x", "points": [[19, 171], [101, 165], [137, 709], [55, 715]]}]
173.png	[{"transcription": "투자노테전", "points": [[680, 127], [3139, 78], [3149, 558], [691, 607]]}, {"transcription": "2F", "points": [[3254, 224], [3425, 224], [3425, 356], [3254, 356]]}, {"transcription": "유흥주점", "points": [[3571, 449], [3917, 449], [3917, 557], [3571, 557]]}]
174.png	[{"transcription": "하마통 내운게페", "points": [[37, 99], [263, 93], [307, 1604], [81, 1610]]}, {"transcription": "유흥주점", "points": [[50, 1643], [266, 1566], [303, 1655], [86, 1733]]}, {"transcription": "2F", "points": [[97, 1705], [271, 1705], [271, 1887], [97, 1887]]}]
176.png	[{"transcription": "풍미문사진전닭", "points": [[0, 107], [260, 85], [346, 1762], [91, 1784]]}, {"transcription": "원", "points": [[155, 354], [166, 354], [166, 364], [155, 364]]}, {"transcription": "~", "points": [[170, 451], [192, 451], [192, 469], [170, 469]]}]
178.png	[{"transcription": "차화국", "points": [[758, 168], [1767, 298], [1698, 871], [688, 740]]}, {"transcription": "유흥주점", "points": [[1754, 422], [2621, 518], [2588, 838], [1721, 743]]}, {"transcription": "7F", "points": [[2124, 778], [2358, 817], [2332, 982], [2098, 943]]}]
179.png	[{"transcription": "0", "points": [[182, 1022], [457, 1045], [394, 1865], [119, 1842]]}]
18.png	[{"transcription": "문", "points": [[876, 30], [944, 30], [944, 60], [876, 60]]}, {"transcription": "F", "points": [[549, 55], [593, 55], [593, 65], [549, 65]]}]
180.png	[{"transcription": "룸", "points": [[75, 551], [337, 556], [310, 2112], [48, 2107]]}, {"transcription": "유무주사", "points": [[0, 2243], [341, 2103], [391, 2247], [51, 2387]]}, {"transcription": "24", "points": [[110, 2406], [162, 2406], [162, 2437], [110, 2437]]}]
181.png	[{"transcription": "소나기유흥름주점", "points": [[146, 74], [3178, 93], [3176, 541], [144, 523]]}]
182.png	[{"transcription": "호텔랜하탄", "points": [[20, 17], [1935, 17], [1935, 441], [20, 441]]}]
183.png	[{"transcription": "MANHATTAN", "points": [[514, 482], [2587, 58], [2635, 293], [562, 718]]}, {"transcription": "OTEL", "points": [[8, 594], [632, 470], [664, 633], [40, 757]]}]
185.png	[{"transcription": "따뜸한식탁", "points": [[1462, 291], [2372, 327], [2365, 533], [1454, 497]]}, {"transcription": "찌개/숯불구이", "points": [[1578, 551], [2242, 574], [2238, 696], [1575, 673]]}, {"transcription": "P", "points": [[1142, 562], [1205, 562], [1205, 601], [1142, 601]]}, {"transcription": "예약문의 T062383558", "points": [[2404, 729], [3129, 744], [3127, 825], [2403, 810]]}]
186.png	[{"transcription": "남도복국", "points": [[1117, 359], [2211, 369], [2210, 606], [1115, 596]]}, {"transcription": "S", "points": [[644, 389], [716, 389], [716, 444], [644, 444]]}, {"transcription": "약국 -학", "points": [[2358, 390], [2838, 422], [2828, 604], [2347, 572]]}, {"transcription": "가맹문의 1668-1677", "points": [[3058, 398], [3662, 398], [3662, 470], [3058, 470]]}, {"transcription": "S", "points": [[588, 440], [608, 440], [608, 461], [588, 461]]}, {"transcription": "SGE", "points": [[600, 474], [744, 474], [744, 537], [600, 537]]}, {"transcription": "명인의 복국전문점", "points": [[280, 537], [744, 537], [744, 626], [280, 626]]}, {"transcription": "광주상무점 381-688", "points": [[3062, 546], [3674, 546], [3674, 631], [3062, 631]]}]
187.png	[{"transcription": "AA", "points": [[335, 146], [745, 197], [712, 468], [303, 418]]}, {"transcription": "E랜스켄드Ba", "points": [[600, 163], [3373, 350], [3350, 708], [576, 521]]}, {"transcription": "1796", "points": [[453, 452], [654, 452], [654, 569], [453, 569]]}, {"transcription": "with Windsor", "points": [[181, 694], [1237, 757], [1226, 942], [171, 879]]}, {"transcription": "BAR Tonight Toge ther", "points": [[1595, 770], [3163, 843], [3154, 1036], [1587, 963]]}, {"transcription": "5F", "points": [[3253, 886], [3398, 886], [3398, 1022], [3253, 1022]]}]
188.png	[{"transcription": "햇고치코K/겟치거어룸장", "points": [[105, 74], [350, 78], [313, 2212], [68, 2208]]}]
189.png	[{"transcription": "새움", "points": [[68, 44], [220, 53], [215, 141], [62, 132]]}, {"transcription": "마s 해닭는", "points": [[19, 124], [232, 123], [233, 865], [22, 866]]}]
19.png	[{"transcription": "스니피", "points": [[112, 46], [211, 51], [210, 78], [112, 72]]}, {"transcription": "E", "points": [[700, 46], [868, 46], [868, 71], [700, 71]]}]
190.png	[{"transcription": "F000", "points": [[39, 63], [183, 65], [174, 658], [30, 656]]}, {"transcription": "2F", "points": [[32, 626], [168, 631], [165, 739], [28, 734]]}]
191.png	[{"transcription": "중!치어옛국맥니", "points": [[113, 162], [422, 162], [422, 1796], [113, 1796]]}, {"transcription": "F", "points": [[271, 1782], [295, 1782], [295, 1799], [271, 1799]]}]
192.png	[{"transcription": "골트", "points": [[25, 10], [198, 10], [198, 91], [25, 91]]}, {"transcription": "공미크피]", "points": [[16, 73], [206, 79], [191, 610], [0, 604]]}]
193.png	[{"transcription": "BAE", "points": [[25, 105], [157, 108], [148, 544], [16, 541]]}]
194.png	[{"transcription": "HOTEL", "points": [[149, 169], [1140, 225], [1125, 508], [134, 452]]}, {"transcription": "유토피아", "points": [[1242, 172], [3028, 262], [3009, 659], [1223, 569]]}, {"transcription": "8F", "points": [[3125, 285], [3644, 298], [3635, 707], [3115, 695]]}]
196.png	[{"transcription": "노래홀", "points": [[1229, 116], [3591, 199], [3571, 792], [1210, 710]]}, {"transcription": "유토피아", "points": [[31, 340], [1060, 32], [1135, 296], [106, 604]]}, {"transcription": "유흥주점3F", "points": [[296, 601], [1052, 614], [1049, 795], [293, 782]]}]
198.png	[{"transcription": "정", "points": [[119, 66], [256, 66], [256, 210], [119, 210]]}, {"transcription": "금탁", "points": [[1607, 156], [2478, 156], [2478, 525], [1607, 525]]}, {"transcription": "A f", "points": [[2475, 245], [2684, 245], [2684, 377], [2475, 377]]}, {"transcription": "Traditr", "points": [[114, 349], [394, 363], [390, 444], [111, 430]]}, {"transcription": "na", "points": [[389, 381], [490, 381], [490, 439], [389, 439]]}, {"transcription": "2F", "points": [[3271, 389], [3386, 389], [3386, 482], [3271, 482]]}, {"transcription": "374-1000", "points": [[2894, 469], [3412, 483], [3409, 600], [2892, 586]]}]
199.png	[{"transcription": "스카이", "points": [[582, 39], [1942, 78], [1932, 391], [572, 351]]}, {"transcription": "3F스카이유흥주점", "points": [[2074, 174], [3234, 215], [3228, 366], [2069, 325]]}]
2.png	[{"transcription": "진단티페", "points": [[2655, 0], [3054, 0], [3059, 234], [2660, 242]]}, {"transcription": "뷰터스", "points": [[68, 38], [862, 38], [862, 209], [68, 209]]}, {"transcription": "닭은피부과의원", "points": [[790, 42], [2642, 18], [2644, 223], [792, 242]]}]
20.png	[{"transcription": "L의문", "points": [[407, 23], [865, 23], [865, 66], [407, 66]]}]
200.png	[{"transcription": "첨단생비준", "points": [[2465, 233], [3315, 354], [3283, 579], [2434, 458]]}, {"transcription": "60년전통육회비빌밥", "points": [[161, 256], [2423, 282], [2420, 514], [158, 487]]}, {"transcription": "73원1나", "points": [[2575, 626], [3013, 635], [3011, 734], [2573, 726]]}]
201.png	[{"transcription": "유흥", "points": [[2412, 1], [3049, 0], [3053, 301], [2417, 309]]}, {"transcription": "투데이", "points": [[100, 50], [2261, 28], [2267, 550], [106, 573]]}, {"transcription": "2F", "points": [[2486, 245], [3016, 266], [3003, 587], [2473, 566]]}]
202.png	[{"transcription": "헬리스호", "points": [[130, 841], [3343, 300], [3437, 825], [224, 1366]]}, {"transcription": "1동층주차장", "points": [[1072, 1298], [1435, 1268], [1445, 1385], [1082, 1415]]}]
203.png	[{"transcription": "odla", "points": [[1427, 663], [2910, 421], [2998, 947], [1515, 1189]]}, {"transcription": "둘래이", "points": [[701, 961], [1205, 841], [1255, 1046], [751, 1166]]}, {"transcription": "uxUeM5", "points": [[276, 1086], [575, 964], [624, 1079], [325, 1202]]}, {"transcription": "Om소", "points": [[260, 1139], [461, 1098], [483, 1207], [283, 1248]]}, {"transcription": "2~유흥수점", "points": [[63, 1484], [720, 1338], [752, 1482], [96, 1628]]}]
204.png	[{"transcription": "MaMa", "points": [[124, 49], [2795, 183], [2757, 962], [86, 829]]}, {"transcription": "노래홀", "points": [[285, 880], [2597, 941], [2582, 1502], [271, 1440]]}, {"transcription": "4F", "points": [[1198, 1509], [1729, 1531], [1714, 1899], [1183, 1876]]}, {"transcription": "유흥주점", "points": [[1941, 1694], [2472, 1716], [2464, 1900], [1934, 1878]]}]
205.png	[{"transcription": "n", "points": [[64, 113], [346, 123], [307, 2021], [1, 2012]]}]
207.png	[{"transcription": "Simplfe", "points": [[619, 240], [2919, 320], [2889, 1124], [589, 1044]]}, {"transcription": "6F", "points": [[2812, 1226], [3104, 1226], [3104, 1471], [2812, 1471]]}, {"transcription": " Public", "points": [[2033, 1258], [2786, 1258], [2786, 1456], [2033, 1456]]}]
208.png	[{"transcription": "유토피아", "points": [[338, 90], [1883, 98], [1881, 348], [337, 340]]}, {"transcription": "MOTEL", "points": [[1788, 158], [2799, 190], [2794, 367], [1783, 335]]}, {"transcription": "8F", "points": [[2888, 235], [3020, 235], [3020, 344], [2888, 344]]}]
